link,headline,datetime_posted,content,scraped_at,analysis_result
https://sports.ndtv.com/ipl-2025/gujarat-titans-vs-sunrisers-hyderabad-live-score-ipl-2025-gt-vs-srh-live-updates-shubman-gill-pat-cummins-abhishek-sharma-8312439,"Gujarat Titans vs Sunrisers Hyderabad Highlights, IPL 2025: GT returned to second spot, while SRH are on the brink of being eliminated.",2025-05-02 23:50:26,"GT vs SRH Highlights, IPL 2025: Shubman Gill slammed 76 with the bat as Gujarat Titans (GT) beat Sunrisers Hyderabad (SRH) by 38 runs in their IPL 2025 clash in Gujarat. Led by Gill and handy contributions by Jos Buttler (64) and B Sai Sudharsan (48), GT posted a first innings score of 224/6 in 20 overs. In response, SRH Travis Head departed after a stunning catch by Rashid Khan. Prasidh Krishna bowled a brilliant spell of 2/19 in four overs, as Abhishek Sharma's 41-ball 74 went in vain. The result takes Gujarat Titans to second spot, while SRH are all but out of the IPL 2025 playoff race. (SCORECARD)",2025-05-03 05:01:51,Positive
https://sports.ndtv.com/ipl-2025/jasprit-bumrah-compared-to-sir-don-bradman-australia-great-drops-ultimate-praise-8309775,"Australia great Adam Gilchrist gave the best possible praise to Jasprit Bumrah, comparing him with the legendary Sir Donald Bradman.",2025-05-02 22:18:18,"Mumbai Indians and India pacerJasprit Bumrahis in a league of his own. The speedster is quickly making gains in the Indian Premier League (IPL) 2025 top wicket-takers' charts, while also turning the season around for MI since his return to the T20 league. Bumrah missed the first few matches of the franchise, but since his return, not much has gone wrong for theHardik Pandya-led side. In fact, MI have won 6 of the last 7 matches that Bumrah has been a part of.
The consistency with which Bumrah bowls terrifies every single opponent. His talent, coupled with the approach towards the game, truly makes him an elite athlete, that arguably no one can match in the game at present. This is the reason Australian cricket greatAdam Gilchristdecided to draw comparisons between Bumrah and the GOAT Sir Donald Bradman.
""He's maybe the best bowler, fast bowler of all time. When you start stacking up the statistics and the varying conditions that he has to go out and execute those skills in, I guess you look at Sir Donald Bradman's numbers compared to his peers and he's just so far ahead, so I think Bumrah is sort of in that category across all the different variations that you get in conditions and pitches that you've got to bowl on. He's significantly further ahead than the peers around him, so that tells you we are truly watching greatness,"" Gilchrist said during a discussion on Cricbuzz.
Gilchrist was even asked if the Australians were ever intimidated by an Indian pacer in the past, the way they were in the 2024-25 Border-Gavaskar Trophy. His answer was a clear no.
""A seamer from India, consistently throughout, particularly the series that we just saw in the summer, back home in the Australian summer, no, I don't think so,"" Gilchrist said when he was asked whether Australians were intimidated and afraid of a bowler from India like they were against Jasprit Bumrah.
Former India spinnerMurali Kartik, who was also a part of the panel discussion on Thursday, called Bumrah a 'national treasure' for the country.
""He's a national treasure, I think at the moment for us a lot, whoever follows cricket and wants India to do well, during the BGT, I think all of us were wishing that he could bowl from both ends. India looked a different side and he looked a different bowler against Australia, he is, look, one of the things which I felt with Bumrah over the period of time is that he acclimatises to any pitch very quickly and I think many bowlers have a certain length that they bowl, but he doesn't have a certain length, he bowls the length which is required on that surface and that's his greatness, the oddity of his action,"" he said.
Listen to thelatest songs, only onJioSaavn.com",2025-05-03 05:01:54,Positive
https://sports.ndtv.com/ipl-2025/shubman-gill-loses-cool-engages-in-heated-chat-with-umpire-srh-star-abhishek-sharma-does-this-8315774,Gujarat Titans skipper Shubman Gill once again got into a heated chat with the on-field umpires over a DRS call during the IPL 2025 encounter against Sunrisers Hyderabad.,2025-05-02 23:47:44,"Gujarat Titans skipperShubman Gillonce again got into a heated chat with the on-field umpires over a DRS call during the IPL 2025 encounter against Sunrisers Hyderabad on Friday. Earlier, Gill argued with the fourth umpire over his own dismissal and during the SRH innings, a DRS call involvingAbhishek Sharmaresulted in more disagreement. During the 14th over of the innings, Abhishek was struck on his shoes by a yorker and although the umpire was not interested in the LBW appeal, GT went for a review. The replay showed that the impact was just outside the leg-stump line but Gill was not happy as it did not show where the ball pitched. The GT skipper ended up having a heated chat with the umpires but Abhishek Sharma stepped between them and tried to calm him down. The situation was ultimately resolved with Abhishek and Gill sharing a funny moment between themselves.
A heated moment between Shubman Gill and the umpire.pic.twitter.com/DYcwHdh9Ta
Gujarat Titans roared back to winning ways with a 38-run mauling of Sunrisers Hyderabad after Prasidh Krishna's outstanding bowling complemented Shubman Gill and Jos Buttler's explosive half-centuries in the Indian Premier League on Friday.
The result meant SRH are all but out of the playoffs race, even as GT boosted their prospects.
The trio of Gill, Buttler and Sai Sudharsan fired in unison to propel GT to 224 for six.
In reply, SRH were off to a good start too but could not sustain for long and were stopped at 186 for six. Abhishek Sharma top-scored for SRH with 74 off 41 balls.
This was after Gill blazed away to a 38-ball 76, and Sudharsan chipped in with a breezy 23-ball 48 while forging an opening stand of 87 runs in just 6.5 overs, following which Buttler took GT past 200 with his 64 off 37 deliveries.
Prasidh once again excelled with the ball for GT, finishing with excellent figures of 2/19 in 4 overs. The only cause of concern for GT this evening came when Ishant limped off the ground after failing to complete the final over.
(With PTI inputs)",2025-05-03 05:01:56,Positive
https://sports.ndtv.com/ipl-2025/sai-sudharsan-scripts-history-beats-sachin-tendulkar-to-claim-sensational-t20-record-8314417,Gujarat Titans batter Sai Sudharsan shattered Sachin Tendulkar's record to become the fastest Indian cricketer to score 2000 runs in T20 cricket.,2025-05-02 20:27:26,"Gujarat Titans batterSai SudharsanshatteredSachin Tendulkar's record to become the fastest Indian cricketer to score 2000 runs in T20 cricket. The left-handed batter achieved the sensational feat during the encounter against Sunrisers Hyderabad where he scored 48 off just 23 deliveries. Sudharsan looked in sublime form as he slammed 9 fours before he was dismissed byZeeshan Ansari. Overall,Shaun Marshwas the fastest to score 2000 runs in T20 cricket (53 innings). The record earlier belonged to legendary India batter Sachin Tendulkar who achieved the huge feat in 59 innings.
Fewest innings taken for 2000 runs in T20s
53 - Shaun Marsh
54 - Sai Sudharsan*
58 -Brad Hodge/Marcus Trescothick/Muhammad Waseem
59 - Sachin Tendulkar /D'Arcy Short
Sunrisers Hyderabad won the toss and elected to bowl first against Gujarat Titans in Match 51 of Indian Premier League (IPL) 2025 at the Narendra Modi Stadium here on Friday. In the five matches that have been played at this venue, including Friday night's encounter, no team has elected to bat first at the Narendra Modi Stadium this season.
The Sunrisers Hyderabad sit on the verge of elimination. A loss on the night could see them become the third team after Chennai Super Kings and Rajasthan Royals to have been eliminated from the tournament.
Sunrisers Hyderabad captainPat Cumminssaid, ""We will have a bowl. You never really know what you will get. Sometimes it is better to bat at night. We won our first game at CSK's venue. Hopefully, the trend continues here as well. If we win all our games, we still have a chance. We haven't quite clicked as a team. In the last couple of games, we have done better. Same team.""
The Titans have certainly stumbled along their way, after having won four games on the trot and occupying the top spot in the table for the initial phase of the tournament, and are coming off a thumping loss against the Rajasthan Royals. The home side has made one change to their lineup withGerald Coetzeecoming in place ofKarim Janat.
Gujarat Titans skipperShubman Gillsaid, ""We would have bowled first as well. Looks like a good wicket. Last game here, we played against Mumbai, and we batted as well. The season has been pretty good for us. Nothing changes us for us. This is the time when a good team peaks. We are not really looking at the NRR. We are looking to see each game as it is. We have one change. Gerald comes in for Karim.""
(With IANS inputs)",2025-05-03 05:01:59,Positive
https://sports.ndtv.com/ipl-2025/first-ipl-title-rcbs-bold-start-to-2025-season-sets-social-media-ablaze-7989212,Royal Challengers Bengaluru outclassed defending champions Kolkata Knight Riders in the IPL 2025 opener.,2025-03-23 10:12:19,"Royal Challengers Bengaluru (RCB) ticked off many boxes with a bold start to the Indian Premier League (IPL) 2025 campaign that saw them decimate defending champions Kolkata Knight Riders (KKR).Virat Kohli,Krunal Pandya,Phil Salt,Rajat Patidar, etc. looked on song as the Bengaluru franchise secured a dominant 7-wicket victory in the season-opening clash on Saturday. The result also lifted fans' hopes high, as chatter of RCB breaking their IPL title duck this season intensified, just after their first game of the campaign.
While these are indeed early days in the tournament, the fans' aspirations of ""Ee Sala Cup Namde"" skyrocketed, as many deemed that the squad is looking the most balanced the franchise has had in years.
Here's how fans reacted to RCB's season-opening win over KKR at Eden Gardens:
RCB title, congrats!
Congratulations on the first IPL Title to RCB
RCB Batters today- Virat Kohli : 59(36) not out- Phil Salt : 56(31)- Rajat Patidar : 34(16)- Livingstone : 15(5)We are coming for ipl trophypic.twitter.com/H2gRnRW8Yy
RCB is in my top 4 specially cos they have got their bowling right. Hope they capitalise in the start they got in the first match. Brilliant start to this Year's wish of E SALA CUP NAMDE
Ee Sala Cup Namde!!#RCB
Virat Kohli opened the Indian Premier League season with an unbeaten 59 as he led Royal Challengers Bengaluru to a crushing seven-wicket win over champions Kolkata Knight Riders in the curtain-raiser on Saturday.
Bengaluru restricted hosts Kolkata to 174-8 despite a quickfire 56 from skipperAjinkya Rahaneat the iconic Eden Gardens in the lucrative T20 tournament.
Kohli then took centre stage in his 36-ball knock which witnessed a fan breaching security to touch the celebrated Indian batsman's feet -- a common scene in IPL matches across seasons.
The former India captain set up the chase in a 95-run opening stand with England's Phil Salt, who smashed 56, as Bengaluru achieved the target with 22 balls to spare.
Liam Livingstonefinished off with a six and four in his unbeaten 15 after debutant skipper Rajat Patidar hit a 16-ball 34.
""There was pressure, but it was a good day for me,"" said Patidar. ""Hope for more such days.""
On having Kohli by his side, Patidar said, ""It's a great opportunity for me to learn from one of the great players of the game.""
With AFP Inputs",2025-05-03 05:02:02,Positive
https://sports.ndtv.com/cricket/haris-rauf-takes-absolute-screamer-leaves-fans-on-internet-speechless-watch-7975255,Pakistan's Haris Rauf grabbed a stunning catch in the 3rd T20I against New Zealand.,2025-03-21 14:20:08,"Pakistan, a team that is often criticised for its poor fielding, saw pacerHaris Raufpull off one of the finest catches in the team's history. Rauf produced a one-handed stunner during the third T20I of the 5-match series against New Zealand on Friday to send opening batter Fin Allen packing early in the game.
Shaheen Afridibowled a fuller deliver on the leg stump to Allen, who tried to flick the ball past the short-fine leg fielder. Haris, however, diving towards his right-hand side, turned into a superman as he plucked the ball in dramatic fashion. Rauf's own reaction suggested that he himself couldn't believe what had happened.
Rauf's Gravity-Defying Grab!Haris Rauf takes an absolute stunner at short fine leg to dismissFinn Allenearly in the 3rd T20I!Catch all the action LIVE on FanCode!#NZvPAKpic.twitter.com/8oSoGNerOf
Later in the match, New Zealand batterMark Chapmanstruck a blistering 94 a the hosts scored 204 against Pakistan and moved into a strong position to clinch the five-match series.
Chapman dominated after New Zealand were asked to bat, taking advantage of the small Eden Park boundaries as he tallied 11 fours and four sixes from just 44 balls faced.
The left-hander fell agonisingly short of a second T20 century when he mistimed a slower ball from Shaheen Shah Afridi and was caught at short third man.
The rest of the home side's batsmen struggled to get going, aside from captainMichael Bracewell's 31, as they were dismissed from the penultimate ball.
Experienced seamer Haris Rauf bowled Bracewell and finished with Pakistan's best figures of 3-29.
Leg-spinnerAbrar Ahmedand seamerAbbas Afridi, who both missed Tuesday's game two loss in Dunedin, justified their recalls by taking two wickets each.
New Zealand made one change, recalling Kyle Jamieson in place of fellow seamer Zak Foulkes.
Jamieson took three wickets when New Zealand won the opening match by nine wickets in Christchurch.
With AFP Inputs",2025-05-03 05:02:04,Positive
https://sports.ndtv.com/cricket/yuzvendra-chahals-cryptic-post-on-valentines-day-dont-let-anyone-fans-have-only-one-thought-7715090,"On Valentine's Day, which fell on Friday, Yuzvendra Chahal posted a cryptic line along with a series of his photos.",2025-02-15 10:35:23,"Yuzvendra Chahal, despite being one of the best performing spinners in the T20 format, has been ignored form the Indian cricket team in recent times. The veteran wrist-spinner has 72 ODIs and 80 T20Is taking 121 and 96 wickets respectively. However, the last international match that he played was back in August, 2023. In the current scheme of things, spinners likeAxar Patel,Washington Sundar,Kuldeep Yadavhave been given preference on him. He was not even selected for Champions Trophy 2025.
On Valentine's Day, which fell on Friday, Chahal posted a cryptic line along with a series of his photos. ""You are enough just as you are! Don't let anyone make you feel otherwise,"" the caption to the post read.
While there was no clarity on what the post was actually about, some of his followers deemed that it may have to do with his personal life. In recent times, there have been rumours that the Indian cricket team star may be headed for divorce with wife Dhanashree Verma.
A post shared by Yuzvendra Chahal (@yuzi_chahal23)
In a long message regarding ""social media posts speculating on matters that may or may not be true"", Chahal said it has caused him and his family immense pain.
""I am grateful to all my fans for their unwavering love and support without which, I wouldn't have come this far. But this journey is far from OVER!!! As there are still many incredible OVERS left to deliver for my country, my team, and for my fans!!! While I am proud to be a sportsman, I am also a Son, a Brother, and a Friend. I understand the curiosity surrounding recent events, particularly about my personal life. However, I have noticed certain social media posts speculating on matters that may or may not be true,"" he wrote in a long post on his Instagram story.
""As a Son, a Brother and a Friend, I humbly request everyone not to indulge in these speculations, as they have caused immense pain to me and my family. My family values have taught me to always wish well for all, strive to achieve success through dedication and hard work, instead of taking shortcuts, and I remain committed to these values. With Divine Blessings, I shall forever strive to seek your love & support and not sympathy.""
Earlier, Dhanashree slammed faceless trolls for spreading hate.
""The past few days have been incredibly tough for my family and me. What's truly upsetting is the baseless writing, devoid of fact checking, and the character assassination of my reputation by faceless trolls spreading hate,"" Dhanashree wrote in a long post on her Instagram story.
""I've worked hard for years to build my name and integrity. My silence is not a sign of weakness; but of strength. While negativity spreads easily online, it takes courage and compassion to uplift others.
""I choose to focus on my truth and move forward, holding onto my values. The truth stands tall without the need for justification.""",2025-05-03 05:02:06,Positive
https://sports.ndtv.com/cricket/he-does-not-leave-me-alone-virat-kohli-does-not-want-to-share-room-with-this-rcb-star-8311911,Star RCB batter Virat Kohli made a hilarious remark about a teammate that he would not like to have as his roommate and a mate he would like to share his room with.,2025-05-02 19:39:13,"Star Royal Challengers Bengaluru (RCB) batter Virat Kohli made a hilarious remark about a teammate that he would not like to have as his roommate and a mate he would like to share his room with during a meet-and-greet event ahead of his side's match against Chennai Super Kings (CSK). A clip of Virat's appearance at the meet-and-greet event ahead of the match was posted on RCB's official X handle. In the video, Virat hilariously revealed batter Swastik Chikara as someone he would not like to have as his roommate, saying that he does not leave him alone.
""Because he does not leave me alone, so, definitely not him (Swastik),"" Kohli replied.
?Find out what Virat said at the@qatarairwaysMeet and Greet event, earlier today!#PlayBold...pic.twitter.com/d1EsvVl3dR
Swastik, the 20-year-old who rose to fame with a hat-trick of centuries in the UP T20 League in 2023 and has played some matches for Uttar Pradesh in domestic cricket, has been the subject of many hilarious memes on social media because of his repeated presence around Virat. He is often seen carrying water for Virat and cracking jokes and pranks with him on and off the field.
Virat, however, said that he would like to have wicketkeeper Jitesh Sharma as his roommate. He called the batter ""funny"" and someone who has a lot of ""mischief"" in his eyes. He also appreciated the keeper, who has 121 runs in seven innings so far for RCB, for his ""street-smart"" cricket.
""But one guy I think is really funny, but he has not opened up with me properly, is Jitesh [Sharma]. I want to see that really fun, raw side of him because I can see it in his eyes; he has that mischief about him. He is very street smart; you can see on the field that he finds different ways of looking at things. So, I would like to get to know him more,"" he concluded.
During the ongoing IPL, Virat is sitting in third place among the highest-run-getters, with 443 runs in 10 innings at an average of 63.28, a strike rate of almost 139, and six fifties, with the best score of 73*.
His side is at the second spot in the table with seven wins and three losses, and they will host Chennai Super Kings (CSK) at home on Saturday.",2025-05-03 05:02:09,Positive
https://sports.ndtv.com/ipl-2025/rohit-sharmas-incredible-gesture-for-vaibhav-suryavanshi-after-rr-stars-2-ball-duck-8309079,Rohit Sharma's post-match gesture for Rajasthan Royals youngster Vaibhav Suryavanshi won several hearts on social media.,2025-05-02 08:08:20,"Rajasthan Royals youngsterVaibhav Suryavanshicouldn't continue his hot form in the Indian Premier League (IPL) 2025, as he was dismissed for a 2-ball duck against Mumbai Indians on Thursday. Vaibhav came into the fixture on the back of a lot of hype, having become the youngest batter to score a century in the IPL in the previous fixture. But, the Mumbai Indians battle turned out to be completely different for Vaibhav as he failed to even open his account. As RR ended up losing the game by a margin of 100 runs, MI superstarRohit Sharma's gesture for the teenager went viral.
The defeat against Mumbai officially resulted in the Royals' elimination from the IPL playoffs race. As the two teams exchanged handshakes after the match, Rohit walked up to Vaibhav and shared a few words of encouragement with the youngster, who would understandably be feeling low about his performance in the match.
""He will learn. Encouraging words from Rohit Sharma there, as well,""Ravi Shastrisaid on-air as the gesture from Rohit for the young star won several hearts.
Rohit Sharma encouraging Vaibhav Suryavanshi- A lovely gesture by Indian Captain.pic.twitter.com/QHjcCNWkUA
Rohit Sharma's opening partner, Ryan Rickleton, was named the Player of the Match for his 38-ball 63 against the Royals.
""The family is there, they have come up this week, and it is special to put in a performance in front of them. Always happy to contribute tothe  Mumbai Indians. Such a good group and we are finding the momentum at the right time,"" he said after the match. When asked about his stand with Rohit, the South African said: ""Was a bit of a slow start getting into the tournament for both of us, we are clicking and it is incredible to be out there with him. We were a bit unsure with the weather looming around in the first two-three overs but we dovetailed nicely. Awesome to get out and lay the foundation and then watch Hardik and SKY play the way they did.""",2025-05-03 05:02:12,Positive
https://sports.ndtv.com/ipl-2025/shubman-gill-loses-cool-engages-in-heated-chat-with-umpire-srh-star-abhishek-sharma-does-this-8315774,Gujarat Titans skipper Shubman Gill once again got into a heated chat with the on-field umpires over a DRS call during the IPL 2025 encounter against Sunrisers Hyderabad.,2025-05-02 23:47:44,"Gujarat Titans skipperShubman Gillonce again got into a heated chat with the on-field umpires over a DRS call during the IPL 2025 encounter against Sunrisers Hyderabad on Friday. Earlier, Gill argued with the fourth umpire over his own dismissal and during the SRH innings, a DRS call involvingAbhishek Sharmaresulted in more disagreement. During the 14th over of the innings, Abhishek was struck on his shoes by a yorker and although the umpire was not interested in the LBW appeal, GT went for a review. The replay showed that the impact was just outside the leg-stump line but Gill was not happy as it did not show where the ball pitched. The GT skipper ended up having a heated chat with the umpires but Abhishek Sharma stepped between them and tried to calm him down. The situation was ultimately resolved with Abhishek and Gill sharing a funny moment between themselves.
A heated moment between Shubman Gill and the umpire.pic.twitter.com/DYcwHdh9Ta
Gujarat Titans roared back to winning ways with a 38-run mauling of Sunrisers Hyderabad after Prasidh Krishna's outstanding bowling complemented Shubman Gill and Jos Buttler's explosive half-centuries in the Indian Premier League on Friday.
The result meant SRH are all but out of the playoffs race, even as GT boosted their prospects.
The trio of Gill, Buttler and Sai Sudharsan fired in unison to propel GT to 224 for six.
In reply, SRH were off to a good start too but could not sustain for long and were stopped at 186 for six. Abhishek Sharma top-scored for SRH with 74 off 41 balls.
This was after Gill blazed away to a 38-ball 76, and Sudharsan chipped in with a breezy 23-ball 48 while forging an opening stand of 87 runs in just 6.5 overs, following which Buttler took GT past 200 with his 64 off 37 deliveries.
Prasidh once again excelled with the ball for GT, finishing with excellent figures of 2/19 in 4 overs. The only cause of concern for GT this evening came when Ishant limped off the ground after failing to complete the final over.
(With PTI inputs)",2025-05-03 05:02:14,Positive
