link,headline,datetime_posted,content,scraped_at,analysis_result
https://www.ndtv.com/education/cbse-class-10-and-12-results-2025-what-we-know-so-far-about-release-date-8310339,CBSE Result 2025: What We Know So Far About Release Date Of Class 10 and 12 Results,"May 02, 2025 12:18 pm IST","CBSE Board Result 2025:Central Board of Secondary Education (CBSE) conducts to important and widely recognised examinations - Class 10 board exam and Class 12 board exam. These exams are considered prestigious and significant because they are not only standardised across the country, but are aligned with national entrance exams and crucial for future admissions. So, any news related to thebuzz around the declaration of these resultsgenerate a lot of user interest. In his exam season, the news about CBSE results has been constantly ranking very high on Google search trends. This is because various media outlets have claimed that CBSE board results can be declared on Friday, May 2.
However, the board has not made any official announcement in this regard. In fact, the CBSE board results may not be released until after the weekend.

This year, the CBSE Class 10 exams got over on March 18 and Class 12 board exams concluded on April 4. More than 24 lakh students took the CBSE Class 10 exams and 17.88 lakh students appeared for Class 12 exams.
The buzz around CBSE board results can be gauged from the fact that social media platforms are seeing hashtags like #CBSE2025, #CBSEResults trending on X (formerly Twitter) and other platforms.
For Class 12 students, the results carry immense weight. College admissions competitive exams and even career choices hinge on these marks. With top universities becoming more selective each year, every decimal point matters.
Meanwhile, Class 10 students face a different kind of pressure: Stream selection. A good result opens the door to coveted streams like Science or Commerce, setting the tone for next two years of study.
Once the CBSE Class 10 and 12 results are declared, students will be able to check their scorecards on the board's official websites. The results will also be available on DigiLocker and the UMANG app.
Students can send an SMS in the format ""cbse10"" or ""cbse12"" followed by their Roll Number, School Code, and Centre Number to 7738299899 to receive their results.
Students must remember that they need 33% marks in each subject to qualify toe board exam successfully.",2025-05-03 05:00:16,Positive
https://www.ndtv.com/india-news/karnataka-sslc-result-2025-live-updates-kseab-class-10-results-direct-link-toppers-list-download-scorecard-8309872,No headline,No date/time,,2025-05-03 05:00:20,Neutral
https://www.ndtv.com/education/wb-result-2025-check-online-86-56-students-pass-west-bengal-class-10-exam-direct-link-here-8309765,"West Bengal Class 10 Result 2025: 86.56% Students Pass, Aditro Sarkar Is State Topper","May 02, 2025 17:46 pm IST","WB Result 2025 Check Online: The West Bengal Board of Secondary Education (WBBSE) declared the Madhyamik (Class 10) board exam results today. A total of 86.56% of students passed the exam. This year, Purba Medinipur recorded the highest overall pass percentage among all districts, at 96.46%. Aditro Sarkar from Rajganj topped the exam, scoring 696 out of 700 marks - an impressive 99.43%. Anubhab Biswas of Ramkrishna Mission Vivekananda Vidya Mandir in Malda and Soumya Pal of Bishnupur High School in Bankura jointly secured the second position, while the third rank was achieved by Ishani Chakraborty from Kotulpur Saroj Basini Balika Vidyalaya in Bankura, with an overall score of 99%.
The result is available on the board's official website, wbbse.wb.gov.in, and on the NDTV special page. Students can access their scorecards using their roll number and date of birth on the result portals.

The top-performing districts include East Midnapore (96.46%), Kalimpong (96.09%), and Kolkata (92.3%).
This year, more girls than boys appeared for the West Bengal Class 10 board exams, with 5,55,950 female candidates out of a total of 9,84,753.
The theory exams were conducted from February 10 to February 22, while assessments for Physical Education, Social Service, and Work Education were held from March 19 to April 2. All exams were conducted in a single shift, from 10.45am to 2pm, with the first 15 minutes allotted for reading the question paper.
Students who did not pass in one or more subjects will have the opportunity to appear for supplementary examinations. The date and schedule for these exams will be announced along with the result declaration. The Madhyamik 2025 mark sheet available online will be provisional. Original mark sheets can be collected from respective schools approximately 15 days after the results are declared.",2025-05-03 05:00:23,Positive
https://www.ndtv.com/education/wb-board-madhyamik-result-2025-live-updates-wbbse-class-10th-result-direct-link-toppers-list-download-scorecard-8308937,No headline,No date/time,,2025-05-03 05:00:27,Neutral
https://www.ndtv.com/education/karnataka-sslc-10th-result-2025-direct-link-kseab-karnataka-gov-in-22-students-achieve-perfect-100-girls-outperform-boys-8311365,"Karnataka SSLC 10th Result 2025: 62.34% Students Pass, 22 Score Perfect 100% Marks","May 02, 2025 14:11 pm IST","KSEAB Karnataka SSLC 10th Result 2025: The Karnataka School Examination and Assessment Board (KSEAB) has officially declared the SSLC (Class 10) results for 2025. Students who appeared for the exams can access their scorecards on the official website,karresults.nic.in, by entering their registration number and date of birth. A total of 62.34 per cent of students passed the exam this year, marking a notable nine per cent increase from last year's pass rate of 53 per cent. Furthermore, 22 students have secured a perfect score of 625/625.
Students can follow these steps to check their results:
Candidates are advised to verify the details and marks on their scorecards carefully. In case of discrepancies, they should promptly contact the KSEAB.

Among the top-performing students, 22 achieved a perfect score of 625/625, while 65 students scored 624 marks, 108 students secured 623 marks, and 189 students earned 622 marks.
In terms of regional performance, students from urban and rural areas demonstrated similar results. Of the 3,35,446 students in urban areas, 67.05 per cent passed. In rural areas, 65.47 per cent of the 4,55,444 students passed the exam.
In gender-wise performance, girls outperformed boys, with 74 per cent of female students clearing the exam, compared to 58.07 per cent of male students.
The formal announcement was made at the KSEAB office in Bengaluru by the Minister for School Education and Literacy, Madhu Bangarappa.
The SSLC exams were held from March 21 to April 4, with approximately 9 lakh students participating across various centers in Karnataka.",2025-05-03 05:00:30,Positive
https://www.ndtv.com/education/karnataka-sslc-10th-result-2025-direct-link-kseab-karnataka-gov-in-22-students-achieve-perfect-100-girls-outperform-boys-8311365,"Karnataka SSLC 10th Result 2025: 62.34% Students Pass, 22 Score Perfect 100% Marks","May 02, 2025 14:11 pm IST","KSEAB Karnataka SSLC 10th Result 2025: The Karnataka School Examination and Assessment Board (KSEAB) has officially declared the SSLC (Class 10) results for 2025. Students who appeared for the exams can access their scorecards on the official website,karresults.nic.in, by entering their registration number and date of birth. A total of 62.34 per cent of students passed the exam this year, marking a notable nine per cent increase from last year's pass rate of 53 per cent. Furthermore, 22 students have secured a perfect score of 625/625.
Students can follow these steps to check their results:
Candidates are advised to verify the details and marks on their scorecards carefully. In case of discrepancies, they should promptly contact the KSEAB.

Among the top-performing students, 22 achieved a perfect score of 625/625, while 65 students scored 624 marks, 108 students secured 623 marks, and 189 students earned 622 marks.
In terms of regional performance, students from urban and rural areas demonstrated similar results. Of the 3,35,446 students in urban areas, 67.05 per cent passed. In rural areas, 65.47 per cent of the 4,55,444 students passed the exam.
In gender-wise performance, girls outperformed boys, with 74 per cent of female students clearing the exam, compared to 58.07 per cent of male students.
The formal announcement was made at the KSEAB office in Bengaluru by the Minister for School Education and Literacy, Madhu Bangarappa.
The SSLC exams were held from March 21 to April 4, with approximately 9 lakh students participating across various centers in Karnataka.",2025-05-03 05:00:32,Positive
https://www.ndtv.com/education/cbse-class-10-and-12-results-2025-what-we-know-so-far-about-release-date-8310339,CBSE Result 2025: What We Know So Far About Release Date Of Class 10 and 12 Results,"May 02, 2025 12:18 pm IST","CBSE Board Result 2025:Central Board of Secondary Education (CBSE) conducts to important and widely recognised examinations - Class 10 board exam and Class 12 board exam. These exams are considered prestigious and significant because they are not only standardised across the country, but are aligned with national entrance exams and crucial for future admissions. So, any news related to thebuzz around the declaration of these resultsgenerate a lot of user interest. In his exam season, the news about CBSE results has been constantly ranking very high on Google search trends. This is because various media outlets have claimed that CBSE board results can be declared on Friday, May 2.
However, the board has not made any official announcement in this regard. In fact, the CBSE board results may not be released until after the weekend.

This year, the CBSE Class 10 exams got over on March 18 and Class 12 board exams concluded on April 4. More than 24 lakh students took the CBSE Class 10 exams and 17.88 lakh students appeared for Class 12 exams.
The buzz around CBSE board results can be gauged from the fact that social media platforms are seeing hashtags like #CBSE2025, #CBSEResults trending on X (formerly Twitter) and other platforms.
For Class 12 students, the results carry immense weight. College admissions competitive exams and even career choices hinge on these marks. With top universities becoming more selective each year, every decimal point matters.
Meanwhile, Class 10 students face a different kind of pressure: Stream selection. A good result opens the door to coveted streams like Science or Commerce, setting the tone for next two years of study.
Once the CBSE Class 10 and 12 results are declared, students will be able to check their scorecards on the board's official websites. The results will also be available on DigiLocker and the UMANG app.
Students can send an SMS in the format ""cbse10"" or ""cbse12"" followed by their Roll Number, School Code, and Centre Number to 7738299899 to receive their results.
Students must remember that they need 33% marks in each subject to qualify toe board exam successfully.",2025-05-03 05:00:34,Positive
https://www.ndtv.com/education/wb-result-2025-check-online-86-56-students-pass-west-bengal-class-10-exam-direct-link-here-8309765,"West Bengal Class 10 Result 2025: 86.56% Students Pass, Aditro Sarkar Is State Topper","May 02, 2025 17:46 pm IST","WB Result 2025 Check Online: The West Bengal Board of Secondary Education (WBBSE) declared the Madhyamik (Class 10) board exam results today. A total of 86.56% of students passed the exam. This year, Purba Medinipur recorded the highest overall pass percentage among all districts, at 96.46%. Aditro Sarkar from Rajganj topped the exam, scoring 696 out of 700 marks - an impressive 99.43%. Anubhab Biswas of Ramkrishna Mission Vivekananda Vidya Mandir in Malda and Soumya Pal of Bishnupur High School in Bankura jointly secured the second position, while the third rank was achieved by Ishani Chakraborty from Kotulpur Saroj Basini Balika Vidyalaya in Bankura, with an overall score of 99%.
The result is available on the board's official website, wbbse.wb.gov.in, and on the NDTV special page. Students can access their scorecards using their roll number and date of birth on the result portals.

The top-performing districts include East Midnapore (96.46%), Kalimpong (96.09%), and Kolkata (92.3%).
This year, more girls than boys appeared for the West Bengal Class 10 board exams, with 5,55,950 female candidates out of a total of 9,84,753.
The theory exams were conducted from February 10 to February 22, while assessments for Physical Education, Social Service, and Work Education were held from March 19 to April 2. All exams were conducted in a single shift, from 10.45am to 2pm, with the first 15 minutes allotted for reading the question paper.
Students who did not pass in one or more subjects will have the opportunity to appear for supplementary examinations. The date and schedule for these exams will be announced along with the result declaration. The Madhyamik 2025 mark sheet available online will be provisional. Original mark sheets can be collected from respective schools approximately 15 days after the results are declared.",2025-05-03 05:00:36,Positive
https://www.ndtv.com/education/wbbse-madhyamik-result-2025-west-bengal-class-10-scorecards-releasing-today-check-direct-link-8309081,"West Bengal Class 10 Result Releasing Today, Check Direct Link Here","May 02, 2025 08:15 am IST","WB Madhyamik Result 2025: The West Bengal Board of Secondary Education (WBBSE) will declare the Madhyamik (Class 10) results today at 9am. However, the results will be available on the official website -wbbse.wb.gov.in- starting at 9.45am. They will also be accessible atwbresults.nic.inand on theNDTV special page. Students can access their scorecards using their roll number and date of birth on the result portals.
""This is for information of all concerned that the Results of Madhyamik Pariksha (SE), 2025 will be announced by the President, Ad-hoc Committee, WBBSE on May 2, 2025 at 9am. The results will be available at wbbse.wb.gov.in from 9.45am on May 2. Schools will get the mark sheets and certificates from their respective Camp Offices of the Board from 10am on 02.05.2025,"" the official notice states.
This year, more girls than boys appeared for the West Bengal Class 10 board exams, with 5,55,950 female candidates out of a total of 9,84,753.
The theory exams were conducted from February 10 to February 22. Assessments for Physical Education, Social Service, and Work Education were held from March 19 to April 2. All exams were held in a single shift, from 10.45am to 2pm, with the first 15 minutes allotted for reading the question paper.
Students who fail to pass in one or more subjects will have the opportunity to appear for supplementary examinations. The date and schedule for these exams will be announced along with the result declaration. The Madhyamik 2025 mark sheet available online will be provisional. Original mark sheets can be collected from respective schools approximately 15 days after the results are declared.

WB Madhyamik Result Trends In Previous Years:",2025-05-03 05:00:38,Positive
https://www.ndtv.com/education/cbse-class-10-and-12-results-2025-what-we-know-so-far-about-release-date-8310339,CBSE Result 2025: What We Know So Far About Release Date Of Class 10 and 12 Results,"May 02, 2025 12:18 pm IST","CBSE Board Result 2025:Central Board of Secondary Education (CBSE) conducts to important and widely recognised examinations - Class 10 board exam and Class 12 board exam. These exams are considered prestigious and significant because they are not only standardised across the country, but are aligned with national entrance exams and crucial for future admissions. So, any news related to thebuzz around the declaration of these resultsgenerate a lot of user interest. In his exam season, the news about CBSE results has been constantly ranking very high on Google search trends. This is because various media outlets have claimed that CBSE board results can be declared on Friday, May 2.
However, the board has not made any official announcement in this regard. In fact, the CBSE board results may not be released until after the weekend.

This year, the CBSE Class 10 exams got over on March 18 and Class 12 board exams concluded on April 4. More than 24 lakh students took the CBSE Class 10 exams and 17.88 lakh students appeared for Class 12 exams.
The buzz around CBSE board results can be gauged from the fact that social media platforms are seeing hashtags like #CBSE2025, #CBSEResults trending on X (formerly Twitter) and other platforms.
For Class 12 students, the results carry immense weight. College admissions competitive exams and even career choices hinge on these marks. With top universities becoming more selective each year, every decimal point matters.
Meanwhile, Class 10 students face a different kind of pressure: Stream selection. A good result opens the door to coveted streams like Science or Commerce, setting the tone for next two years of study.
Once the CBSE Class 10 and 12 results are declared, students will be able to check their scorecards on the board's official websites. The results will also be available on DigiLocker and the UMANG app.
Students can send an SMS in the format ""cbse10"" or ""cbse12"" followed by their Roll Number, School Code, and Centre Number to 7738299899 to receive their results.
Students must remember that they need 33% marks in each subject to qualify toe board exam successfully.",2025-05-03 05:00:40,Positive
