link,headline,datetime_posted,content,scraped_at,analysis_result
https://www.ndtv.com/world-news/us-to-stage-military-parade-on-june-14-donald-trumps-birthday-8316837,"US To Stage Military Parade On June 14, Trump's Birthday","May 03, 2025 04:10 am IST","The United States will stage a military parade on June 14 to mark the 250th anniversary of the founding of the US Army, the White House said Friday, with the event also falling on President Donald Trump's 79th birthday. Trump ""will honor American Veterans, active-duty servicemembers, and military history with a military parade!"" White House spokeswoman Anna Kelly wrote on X. In addition to the parade, the celebration of the service's birthday will feature fireworks and a festival on the National Mall, US Army spokeswoman Heather Hagan said. ""Given the significant milestone of 250 years, the Army is exploring options to make the celebration even bigger, with more capability demonstrations, additional displays of equipment, and more engagement with the community,"" Hagan said. ""Parade planning is actively underway, and we anticipate approximately 150 vehicles, 50 aircraft, and 6,600 soldiers,"" she added. Trump had floated the idea of holding a military parade in Washington during his first term after attending a Bastille Day parade in France.  It never materialized, however, after the Pentagon said it could cost $92 million and concerns were raised that tanks and other heavy military vehicles would damage the city's streets. Washington Mayor Muriel Bowser raised similar concerns last month when asked by reporters about plans for a parade. ""Military tanks on our streets would not be good,"" Bowser said. ""If military tanks were used they should be accompanied with many millions of dollars to repair the roads."" - 'We never celebrate anything' - The last major US military parade in Washington was held in 1991 to celebrate the end of the Gulf War. The new parade announcement came a day after Trump said he was declaring May 8 to be Victory Day for World War II and changing Veterans Day -- observed on November 11 -- to Victory Day for World War I. In a post on his Truth Social platform, the US president downplayed the role of European countries -- many of which suffered far more casualties and devastation than the United States -- in the two global conflicts. ""We won both Wars, nobody was close to us in terms of strength, bravery, or military brilliance, but we never celebrate anything -- That's because we don't have leaders anymore, that know how to do so! We are going to start celebrating our victories again!"" Trump wrote. Trump has had a contradictory relationship with US military forces, lauding their power but also claiming they were depleted and in need of rebuilding. He at times clashed with military brass during his 2016-2020 term in office and reportedly referred to fallen troops as ""losers"" and ""suckers"" -- something he denied. During his second term, Trump has overseen a purge of top officers, including chairman of the Joint Chiefs of Staff general Charles ""CQ"" Brown, whom he fired without explanation in February. Other senior officers dismissed this year include the heads of the Navy and Coast Guard, the general who headed the National Security Agency, the vice chief of staff of the Air Force, a Navy admiral assigned to NATO, and three top military lawyers. US Defense Secretary Pete Hegseth has insisted the president is simply choosing the leaders he wants, but Democratic lawmakers have raised concerns about the potential politicization of the traditionally neutral US military. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2025-05-03 04:59:06,Positive
https://www.ndtv.com/world-news/cia-to-reduce-workforce-by-1-200-personnel-report-8316709,"US's Central Intelligence Agency To Cut 1,200 Jobs: Report","May 03, 2025 04:30 am IST","The CIA plans to shrink its workforce by some 1,200 positions, while other intelligence agencies will also shed thousands of jobs, the Washington Post reported Friday. The Trump administration has informed lawmakers about the planned cuts at the CIA, which will take place over several years and be accomplished in part through reduced hiring as opposed to layoffs, the newspaper said. Asked about the report, a CIA spokesperson did not confirm the specifics, but said that Director John Ratcliffe ""is moving swiftly to ensure the CIA workforce is responsive to the administration's national security priorities."" ""These moves are part of a holistic strategy to infuse the agency with renewed energy, provide opportunities for rising leaders to emerge, and better position CIA to deliver on its mission,"" the spokesperson said. The CIA earlier this year became the first US intelligence agency to join a voluntary redundancy program initiated by President Donald Trump, who has vowed to radically downsize the federal workforce in the name of efficiency and frugality.  Ratcliffe previously told lawmakers that under his leadership, the agency would ""produce insightful, objective, all-source analysis, never allowing political or personal biases to cloud our judgment or infect our products."" ""We will collect intelligence, especially human intelligence, in every corner of the globe, no matter how dark or difficult,"" as well as ""conduct covert action at the direction of the president, going places no one else can go and doing things no one else can do."" Addressing CIA officers, he said: ""If all of this sounds like what you signed up for, then buckle up and get ready to make a difference. If it doesn't, then it's time to find a new line of work.""  (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2025-05-03 04:59:10,Positive
https://www.ndtv.com/india-news/s-jaishankar-speaks-to-eu-counterpart-after-pahalgam-terror-attack-8316440,S Jaishankar Speaks To EU Counterpart After Pahalgam Terror Attack,"May 03, 2025 02:18 am IST","External Affairs Minister S Jaishankar on Friday spoke to his counterpart from European Union Kaja Kallas and discussed the Pahalgam terror attack. Following the phone conversation, Jaishankar welcomed European Union's strong condemnation of terrorism in all forms and manifestations. ""Good to speak with EU HRVP @kajakallas this evening. Discussed the Pahalgam terrorist attack. Welcome European Union's strong condemnation of terrorism in all forms and manifestations,"" Jaishankar said on X. Kallas also spoke to Pakistan Foreign Minister Ishaq Dar. ""Rising tensions between India and Pakistan are alarming. I urge both sides to show restraint and pursue dialogue to ease the situation. Escalation helps no one,"" he posted on X. ""I spoke to both @DrSJaishankar and @MIshaqDar50 today to convey these messages,"" he said. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2025-05-03 04:59:14,Positive
https://www.ndtv.com/world-news/seven-dead-in-fiery-us-van-crash-near-yellowstone-8316274,Seven Dead In Fiery US Van Crash Near Yellowstone,"May 03, 2025 01:37 am IST","A fiery crash involving a passenger van near Yellowstone National Park has left seven people dead, US police said Friday. Detectives probing the crash said a pickup truck collided with a van carrying 14 people on Thursday evening by Henry's Lake in eastern Idaho. ""Tragically, six individuals in the van and the driver of the pickup died as a result of the crash,"" a statement from Idaho State Police said Friday. Pictures in local media showed a badly crumpled red truck and a van that had been engulfed in flames. Police said an air ambulance had been called in to transport victims to hospitals ""due to the severity of the injuries."" There was no information on the identities or nationalities of those caught up in the crash. Locals quoted by media said the road is usually busy because it leads to one of the entrances to Yellowstone. Millions of tourists -- domestic and international -- travel every year to Yellowstone, the first national park to be established in the United States, which covers portions of Wyoming, Idaho and Montana. It is home to thousands of geothermal features -- hot springs, mudpots, steam vents and about half the world's active geysers, including Old Faithful.  (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2025-05-03 04:59:17,Negative
https://www.ndtv.com/world-news/pahalgam-attack-interim-pm-muhammad-yunus-aide-says-bangladesh-should-occupy-northeast-if-india-attacks-pakistan-8316056,"""If India Attacks Pak, Bangladesh Should..."": Muhammad Yunus Aide On Northeast","May 03, 2025 00:38 am IST","A former Bangladesh army officer and close aide of Chief Adviser Muhammad Yunus has suggested that Dhaka should collaborate with China to occupy India's northeastern states if it attacks Pakistan in response to the Pahalgam terror attack. Yunus' interim government on Friday distanced itself from the remarks made by Major General (Retd) ALM Fazlur Rahman on his social media account. In a Facebook post on Tuesday, Rahman wrote in Bengali, ""If India attacks Pakistan, Bangladesh should occupy the seven states of Northeastern India."" ""I think it is necessary to start discussions with China on a joint military arrangement in this regard,"" he added. Rahman was appointed by the Yunus-led interim government in December 2024 as the chairman of the National Independent Commission assigned to investigate the killings in the Bangladesh Rifles revolt of 2009.  Distancing itself from the former army officer's remarks, Bangladesh's Ministry of Foreign Affairs in a media release on Friday said, ""The comments do not reflect the position or policies of the government of Bangladesh, and as such, the government neither endorses nor supports such rhetoric in any form or manner."" The government urged all concerned to refrain from associating the state with the personal views expressed by Rahman, the Dhaka Tribune newspaper reported. Bangladesh remains firmly committed to the principles of sovereignty, territorial integrity, mutual respect, and the peaceful coexistence of all nations, the ministry said. Earlier in March, Chief Adviser Yunus, during his visit to China, had remarked that India's seven northeastern states, which share a nearly 1,600-km border with Bangladesh, are landlocked and have no way to reach the ocean except through his country. In his address at a business event in China, Yunus said Dhaka was the ""only guardian"" of the Indian Ocean in the region, as he invited Beijing to send goods through Bangladesh across the world. The comments did not go down well in New Delhi. It also drew sharp reactions from political leaders in India across party lines. Days after Yunus' controversial remarks, India in April withdrew the transhipment facility it had granted to Bangladesh for exporting goods to the Middle East, Europe and various other countries except Nepal and Bhutan. Bangladesh has been using several Indian ports and airports for its exports to West Asia, Europe, and many other countries. India has exempted Bangladeshi exports to Nepal and Bhutan, as such trade facilitation is mandatory for landlocked countries under the framework of provisions of the World Trade Organisation (WTO). India-Bangladesh relation has nosedived after Yunus failed to contain attacks on minorities, especially Hindus, in that country after the fall of Sheikh Hasina's Awami League government in August last year. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2025-05-03 04:59:19,Positive
https://sports.ndtv.com/cricket/were-just-eager-to-do-our-best-gujarat-titans-captain-shubman-gill-after-win-over-srh-8315936,"""We're Just Eager To Do Our Best"": Gujarat Titans Captain Shubman Gill After Win Over SRH",Press Trust of India,,2025-05-03 04:59:24,Neutral
https://www.ndtv.com/india-news/pahalgam-attack-charanji-singh-channi-surgical-strike-balakot-strike-congress-bjp-visit-pak-and-check-bjp-after-congress-mp-demands-surgical-strike-pr-8315975,"""Visit Pak And Check"": BJP After Congress MP Demands Surgical Strike Proof","May 03, 2025 00:29 am IST","Days after the Congress asked its leaders to stick to the party line on the Pahalgam terror attack, in which 26 people were killed, its MP Charanjit Singh Channi has found himself at the receiving end of a volley by the BJP after demanding proof of the surgical strike carried out against Pakistan in 2016. Mr Channi later said he had not sought proof and that the Congress stands with the government ""like a rock"" as it takes measures against Pakistan following last week's attack.  Addressing a press conference on Friday after a meeting of the Congress Working Committee (CWC) - the party's highest decision-making body - in which a strong resolution urging the Centre to penalise Pakistan for the Pahalgam attack was passed, Mr Channi said the surgical strike ""could not be seen"". Appearing to confuse the 2019 Balakot air strike and the 2016 surgical strike, Mr Channi, who is a former Punjab chief minister, said in Hindi, ""If a bomb is dropped on our country, would we not know? They say we had conducted a surgical strike in Pakistan... nothing happened, the surgical strikes could not be seen, nobody found out."" Asked if he was seeking proof of the strike, Mr Channi continued, ""I have been demanding it since the beginning. But the need of the hour is to heal the wounds of the people of our country. We demand that (the Centre) do something, identify (those behind the Pahalgam attack) and punish them."" The BJP pounced on Mr Channi's remarks and accused him and the Congress of questioning the armed forces. Party leader and Delhi Minister Manjinder Singh Sirsa said in Hindi, ""The Congress has questioned the Army and the Air Force again. Charanjit Singh Channi has said again that he does not believe that the surgical strike was carried out and that he wants proof. What kind of mindset does the Congress and the Gandhi family have that they repeatedly accuse the Army and Air Force of lying and say that Pakistan is telling the truth? This is despite Pakistan itself saying the surgical strike was carried out."" Mr Sirsa also accused the Congress MP of indulging in politics at a time when people have lost their lives in a terror attack. ""If you want proof so badly, visit Pakistan with (Congress MP and Leader of the Opposition) Rahul Gandhi and check where the surgical strike was done,"" he added. BJP Spokesperson Pradeep Bhandari also accused the Congress of ""defending Pakistani terror"".  SICK!Rahul Gandhi's Congress continues to defend Pakistani terror!Now Charanjeet Singh Channi questions our forces.Why is Congress demoralising our forces at this critical time.Congress is taking orders directly from Pakistan!#PehalgamTerroristAttackpic.twitter.com/b2MIexdAQA  Sharing a video of Mr Channi's remarks, Mr Bhandari wrote on X: ""SICK! Rahul Gandhi's Congress continues to defend Pakistani terror! Now Charanjeet Singh Channi questions our forces. Why is Congress demoralising our forces at this critical time. Congress is taking orders directly from Pakistan!"" Later in the evening, Mr Channi said he had not sought proof of the surgical strike. ""I have said earlier as well that the Congress party, in this hour of grief, is standing by the government. If the government disrupts their (Pakistan's) water supply, air or whatever action it takes, we are standing like a rock with it,"" he was quoted as saying by news agency PTI. ""You talked about surgical strikes. We do not ask for proof and no evidence has been sought for it.... The issue today is that we want justice for the families of the victims and the country. We are standing with the government,"" he said. Uri Attack, Response In September 2016, the Army's brigade headquarters was attacked near the town of Uri in Jammu and Kashmir by four terrorists from the Pakistan-based terror organisation Jaish-e-Mohammed. The terrorists lobbed grenades and opened fire, after which a gunbattle began. The attack claimed the lives of 19 soldiers and over 20 others were injured. Days later, on September 29, Indian Army teams crossed the Line of Control and attacked terror launch pads in Pakistan-occupied Kashmir. Several terrorists were killed in the surgical strike and the Army said it had taken the action because it had received intelligence that terrorist attacks were being planned against India. Congress Resolution In its resolution, the Congress Working Committee said this was the time to teach Pakistan a lesson and curb terrorism effectively. ""The masterminds and perpetrators of this cowardly attack must face full consequences for their actions. The Congress urges the Government of India to act with firmness, strategic clarity and international coordination to isolate and penalise Pakistan for its continued export of terror into our territory,"" the resolution stated. ""The entire country awaits accountability, answers and justice. In the face of such an unforgivable provocation, the Congress believes this is not a time for politics but a moment that calls for unity, strength, and national resolve,"" the CWC said.",2025-05-03 04:59:27,Negative
https://sports.ndtv.com/cricket/ipl-2025-points-table-orange-cap-purple-cap-mi-retain-top-spot-gt-gain-2-positions-to-move-to-8315821,"IPL 2025 Points Table, Orange Cap, Purple Cap: MI Retain Top Spot, GT Gain 2 Positions To Move To...",NDTV Sports Desk,,2025-05-03 04:59:30,Neutral
https://www.ndtv.com/world-news/us-man-gets-53-year-jail-for-hate-crime-that-killed-palestinian-child-report-8315878,US Man Gets 53 Year Jail For Hate Crime That Killed Palestinian Child: Report,"May 02, 2025 23:55 pm IST","A man from Illinois was sentenced on Friday to 53 years in prison after a jury convicted him of the murder of a 6-year-old Palestinian American boy and the severe wounding of his mother in an October 2023 hate crime stabbing, The Chicago Sun-Times reported. Joseph Czuba, 73, stabbed and killed Wadee Alfayoumi and knifed Hanan Shaheen days after U.S. ally Israel began its war on Gaza following Palestinian Hamas militants' October 7, 2023, attack on southern Israel. Prosecutors said the stabbing - one of the earliest and worst hate crime incidents in the U.S. since the start of the war - was sparked by anti-Muslim hatred. U.S. rights advocates have noted rising Islamophobia, anti-Arab hate and antisemitism. Czuba, who was the landlord for Shaheen and her son, stabbed the boy 26 times with a military-style knife with a 7-inch (18-cm) serrated blade, authorities said. Shaheen suffered multiple stab wounds in the attack that occurred in Plainfield Township, about 40 miles (64 km) southwest of Chicago.  Czuba was found guilty in late February. Shaheen testified during the trial that Czuba told her ""you, as a Muslim, must die."" Other recent incidents raising alarm in the U.S. about anti-Arab and anti-Palestinian prejudice include the attempted drowning of a 3-year-old Palestinian American girl and the stabbing of a Palestinian American man, both in Texas. Incidents raising alarm over antisemitism and anti-Israel attitudes include an unsuccessful plot to attack a New York Jewish center and an arson attack on Pennsylvania Governor Josh Shapiro's residence. Hate incidents have also been reported during protests and counter-protests related to the war. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2025-05-03 04:59:32,Negative
https://www.ndtv.com/india-news/graduate-arrested-for-harassing-maharashtra-bjp-minister-pankaja-munde-over-phone-police-8315869,Graduate Arrested For 'Harassing' Minister Pankaja Munde Over Phone: Police,"May 02, 2025 23:55 pm IST","The cyber wing of the state police on Friday apprehended a 25-year-old engineering graduate for allegedly harassing Maharashtra environment minister Pankaja Munde with repeated phone calls and messages, an official said. The accused was identified as Amol Chhaganrao Kale, a resident of Beed district. He was held from Bhosri near Pune, an official said. Ms Munde, a BJP leader, had been receiving repeated calls and messages on her personal mobile number for the last couple of days, following which a complaint was filed with Maharashtra Cyber. A case was registered under section 78 (stalking), 79 (acts or words intended to insult modesty of woman) of the Bharatiya Nyaya Sanhita (BNS) and relevant provisions of the Information Technology (IT) Act, and the user of the mobile number was tracked down.  Kale was being questioned to ascertain his motives, said the official. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2025-05-03 04:59:34,Negative
