link,headline,datetime_posted,content,scraped_at,analysis_result
https://www.ndtv.com/science/cold-war-era-soviet-spacecraft-expected-to-crash-back-to-earth-in-may-2025-8311922,Cold War-Era Soviet Spacecraft Expected To Crash Back To Earth In May 2025,"Fri, 02 May 2025 15:13:06 +0530","A Soviet-era spacecraft, Kosmos 482, is expected to crash back to Earth in May 2025 after being stuck in orbit for over 50 years. The spacecraft was part of the Venera programme to gather information about Venus, but a malfunctioning timer prevented it from completing its mission.
According to satellite tracker Marco Langbroek, the spacecraft is now predicted to re-enter Earth's atmosphere around May 10, give or take a few days.
Also Read | Baba Vanga's 2025 Forecast: War, Alien Encounters, And Telepathy Breakthroughs
The spacecraft's fate is uncertain, with experts debating whether it will burn up or survive re-entry. If it survives, it could land between 51.7 degrees north and south latitude, potentially impacting populated areas or oceans.
Orbital updates have resumed (yay!), see my latest forecast here:https://t.co/q006UTzlFhCurrent forecast from our reentry model: 10 May 14:30 UTC +- 2.2 days. Latest model runs are slowly creeping to a slightly later reentry time.pic.twitter.com/jYBNv6ctsg
Kosmos 482 is approximately 480 kilograms and one metre in diameter. Experts are skeptical that the parachute system would still function after all these years, and the heat shield could be damaged. Without the heat shield, the spacecraft would burn up, but if it does persist, a half-tonne metal object will suddenly drop from the sky.
The landing site for the spacecraft is unknown, and there are chance that it will land in the ocean. The event also draws attention to the increasing concern regarding space debris and uncontrolled re-entry risks.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:26,Negative
https://www.ndtv.com/science/lone-soviet-satellite-plunging-towards-earth-may-crash-like-a-meteorite-8288443,Lone Soviet Satellite Plunging Towards Earth May Crash Like A Meteorite,"Tue, 29 Apr 2025 20:48:10 +0530","A 53-year-old Cold War-era Soviet spaceship, initially destined for Venus, is set to crash on Earth in about two weeks. Launched on March 31, 1972, the Kosmos 482 Descent Craft, weighing just under 500kg, is expected to reenter Earth's atmosphere at a speed of about 250 km per hour, posing a risk similar to a meteorite impact, according to a report inThe Independent, citing a tracker.
When launched, the Soviet probe was bound for Venus, but a technical failure locked it in a perpetual orbit around Earth. However, it is expected to start falling back to the Earth in an uncontrolled re-entry around May 10.
""In about 2 weeks from now, an unusual uncontrolled reentry will happen: a 53-year-old landing capsule from a failed Soviet Venera mission stuck in Earth orbit,"" Dutch satellite tracker Marco Langbroek wrote on X (formerly Twitter).
1/xIn about 2 weeks from now, an unusual#uncontrolled#reentrywill happen: a 53-yr-old landing capsule from a failed Soviet#Veneramission stuck in Earth orbit. It will likely survive reentry.(link to blogpost with more info including reentry forecasts, in next tweet)pic.twitter.com/PuuO5ZP00D
Also Read | Switzerland Trials Railway Tracks With Solar Panels To Power Trains
Since the probe was designed to withstand acceleration, high pressures, and extreme heat on Venus, there is a small chance it might survive the reentry when most space objects disintegrate upon entering the Earth's atmosphere.
""As this is a lander that was designed to survive passage through the Venus atmosphere, it is possible it will survive reentry through the Earth atmosphere intact, and impact intact,"" said Mr Langbroek.
""There are many uncertain factors in this though, including that this will be a long shallow reentry trajectory and the age of the object.""
As for where the object will crash on Earth, it is still far too early to tell. However, with an orbital inclination of 51.7 degrees, the reentry can occur anywhere between latitudes 52 degrees north and 52 degrees south. While it is likely that the probe will crash into a water body, there is a small chance it might thud into land.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:30,Negative
https://www.ndtv.com/science/is-gravity-the-code-new-theory-suggests-the-universe-is-a-giant-quantum-computer-8288118,Is Gravity The Code? New Theory Suggests The Universe Is A Giant Quantum Computer,"Tue, 29 Apr 2025 20:04:05 +0530","A groundbreaking study proposes that gravity might be a product of computational processes within the universe, hinting that the cosmos could be operating like a giant quantum computer. Physicist Melvin Vopson from the University of Portsmouth suggests that gravity could be a by-product of the universe's attempt to organize information and matter in space and time.
Thisnew theoryraises intriguing questions about the nature of reality and whether we are living in a simulated environment. If proven true, it could revolutionize our understanding of the universe and its underlying mechanisms.
Dr Melvin Vopsonsuggeststhat gravity might actually be caused by how information about matter is organised in the universe. Using the second law of information dynamics, he indicates that matter and objects in space may be being pulled together because the universe is trying to keep information tidy and compressed.
Dr Vopson said: ""My findings in this study fit with the thought that the universe might work like a giant computer, or our reality is a simulated construct. Just like computers try to save space and run more efficiently, the universe might be doing the same. It's a new way to think about gravity - not just as a pull, but as something that happens when the universe is trying to stay organised.""
Dr Vopson has previously published research suggesting that information has mass and that all elementary particles - the smallest known building blocks of the universe - store information about themselves, similar to the way cells, the building blocks of biological entities, have DNA.
In this latest research, Dr Vopson shows how space pixelation in elementary cells can act as a data storage medium, and demonstrates how the role of information stored in elementary cells is to provide the properties and the coordinates of matter in the space-time simulated construct. Each cell can register information in the form of binary data so if it is empty it registers a digital ""0"", and if matter is present in a cell it registers a digital ""1"".
Dr Vopson added: ""The process is identical to how a digital computer game, virtual reality application, or other advanced simulation would be designed.""
He explains that as a cell can accommodate more than one particle, then the system will evolve itself by moving the particles in space to join them together into a single larger particle inside a single cell.
""This triggers the attracting force because of the rule set in the computational system, requiring the minimisation of the information content, and by extension, a reduction of the computational power. Put simply, it is far more computationally effective to track and compute the location and momentum of a single object in space, than numerous objects. Therefore, it appears that the gravitational attraction is just another optimising mechanism in a computational process that has the role to compress information.""
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:34,Positive
https://www.ndtv.com/science/switzerland-trials-railway-tracks-with-solar-panels-to-power-trains-8287302,Switzerland Trials Railway Tracks With Solar Panels To Power Trains,"Tue, 29 Apr 2025 18:28:12 +0530","A solar technology startup in Switzerland is hoping to exploit the open space between railway tracks to produce sustainable energy by placing solar panels. Under a Rs 6.04 crore (585,000 Swiss francs) pilot project, as many as 48 solar panels have been placed on a 100-metre portion of railway tracks in Buttes, a small village in western Switzerland.
The technology has been developed by Sun-Ways after its founder, Joseph Scuderi, first had the idea in 2020 while waiting for a train. After receiving a green light from the Federal Office of Transport (FOT), the startup deployed the solar panels on the railway line, currently being operated by transN.
""We installed solar panels as we would on the roof of a house,"" Mr Scuderi toldSwissinfo, adding that getting this far ""has been a miracle"".
Notably, the project was initially rejected by FOT in 2023 over concerns that the solar panels could affect the safety of the trains and related maintenance efforts. However, Sun-Ways consulted experts to conduct an independent study on the proposal to prove that the specialised solar panels would not interfere with the active railway.
While solar panels are usually permanently fixed, Sun-Ways has developed a proprietary technology where the panels can be removed whenever required so that the track maintenance team can perform its job. Swiss track maintenance company Scheuchzer can place and remove nearly 1,000 square metres of solar panels in just a few hours.
Also Read | Duolingo To Phase Out Human Contractors And Replace Them With AI
As per the company, the photovoltaic current produced by the solar panels could be used in three ways. In the first scenario, the energy could be ""reinjected"" to power the railway infrastructure (switches, signals, stations) while in second instance, the current can be fed into the electricity network of the nearest local GRD (Distribution Network Operator).
However, Sun-Ways claims that reinjecting the current into the traction energy network that powers the locomotives is the best way to extract the full benefits of the pilot programme. Sun-Ways says the approximately 5,320 kilometres of the Swiss rail network could generate one billion kWh of solar power per year, which is enough to fulfil the consumption demand of 300,000 households.
""It is good that rail and public transport companies are innovating, including in renewable energy production,"" said Florence Pictet, spokesperson for the FOT.
Sun-Ways says it has already received interest from countries such as China and the US while collaborating on similar projects in South Korea, Spain and Romania.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:36,Positive
https://www.ndtv.com/science/do-we-live-in-a-simulated-reality-like-in-the-matrix-uk-scientist-makes-bold-claim-8283626,Do We Live In A Simulated Reality Like In The'Matrix'? UK Scientist Makes Bold Claim,"Tue, 29 Apr 2025 11:30:34 +0530","Are we living in a simulated reality like in the movie'The Matrix'?Dr. Melvin Vopson, a UK-based physicist, suggests that gravity might be evidence we're living in a virtual world, with the universe acting like a giant computer. His theory echoes the 1999 film's concept of a simulated universe, but with a scientific twist.Dr. Vopson's researchsuggests that gravity might be a form of data organisation, similar to computer code compression. He proposes that the universe's tendency to pull objects with mass towards the Earth's core is analogous to how computers optimise data, supporting the idea that our universe could be a simulated or computational construct.
""The universe evolves in a way that the information content in it is compressed, optimised and organised – just as computers and computer code do. Hence, gravity appears to be another process of data compression in a possibly simulated universe,"" he told theDaily Mail.
According to the study, gravity reduces ""information entropy,"" or the amount of information an object holds in a given space. Gravity shapes galaxies, orbits planets around stars, and affects nearby objects' motion. In Dr Vopson's theory, gravity pulls objects together as the universe strives to keep information organised and compressed.
""To put it simply, it is easier to compute all the properties and characteristics of a single object in space, rather than multiple objects. That is why objects in space are pulled together,"" Dr Vopson added.
Dr. Vopson's idea builds on hisprevious workon entropy in information theory, which likely explores how information systems tend to become more disordered or complex over time.
""A super complex universe like ours, if it were a simulation, would require a built-in data optimisation and compression to reduce the computational power and the data storage requirements to run the simulation. This is exactly what we are observing all around us, including in digital data, biological systems, mathematical symmetries and the entire universe,"" heexplained in 2023.
This time, he shifted his focus from biological systems to gravity, exploring its potential connection to information theory and the simulated universe hypothesis.
""My findings in this study fit with the thought that the universe might work like a giant computer, or our reality is a simulated construct. Just like computers try to save space and run more efficiently, the universe might be doing the same. It's a new way to think about gravity – not just as a pull, but as something that happens when the universe is trying to stay organised,"" Mr Vopsonexplained.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:39,Positive
https://www.ndtv.com/science/nasa-satellite-captures-solar-eclipse-visible-only-from-space-8283055,NASA Satellite Captures Solar Eclipse Visible Only From Space,"Tue, 29 Apr 2025 09:28:19 +0530","A solar eclipse visible only from space was captured in various images thanks to the US space agency NASA's Solar Dynamics Observatory (SDO). According to Forbes, the event took place on Sunday, April 27. The moon blocked 23% of the sun in a partial eclipse, but it was not possible to see this from Earth. The images of the ""lunar transit"" show in its entirety, before a large dark orb - moon - passes by, blocking almost a quarter of the star from view.
NASA's Solar Dynamics Observatory (SDO)is a semi-autonomous spacecraft that points at the sun, allowing almost continuous observation. The satellite was launched in February 2010. Since then, it has observed multiple lunar transits, or eclipses, many of which are not visible from Earth.
According to NASA, there will be another eclipse on May 25 that will cover only four per cent of the sun. Another eclipse is due on July 25, which is expected to cover 62% of the sun.
This is not the first time an eclipse has been seen by SDO or by astronauts in space. According to Forbes, several Apollo astronauts witnessed an eclipse of the sun as they travelled to the moon.
Also Read |'Godfather Of AI' Reveals The Odds Of Humanity Being Overrun By Machines
Notably, the last solar eclipse visible from Earth was in March this year, which caused the moon to turn a deep red colour. The phenomenon is known as a Blood Moon, as the same atmospheric effect that causes sunsets to appear red affects the moon.
""A lunar eclipse occurs when the Sun, Earth, and Moon align so that the Moon passes into Earth's shadow. In a total lunar eclipse, the entire Moon falls within the darkest part of Earth's shadow, called the umbra,"" NASA said at the time.
The next solar eclipse visible from Earth will be on September 21. It will be visible from New Zealand, the South Pacific and Antarctica.
A total solar eclipse will take place on August 12, 2026. It will be visible from within a narrow path of totality that passes through eastern Greenland, western Iceland and northern Spain, with totality lasting just over two minutes. The total eclipse is the best kind, during which the moon momentarily blocks out all of the sun, allowing its corona to be seen with the naked eye.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:42,Positive
https://www.ndtv.com/science/godfather-of-ai-reveals-the-odds-of-humanity-being-overrun-by-machines-8278829,'Godfather Of AI' Reveals The Odds Of Humanity Being Overrun By Machines,"Mon, 28 Apr 2025 19:03:50 +0530","Geoffrey Hinton, regarded by many as the 'godfather of artificial intelligence' (AI) has revealed that there is 10 to 20 per cent risk of AI taking control away from humans in the future. Mr Hinton, who was awarded the 2024 Nobel Prize in physics alongside John Hopfield, said AI systems were quickly evolving and that the majority were unaware of what is about to come.
""People haven't got it yet, people haven't understood what's coming,"" warned Mr Hinton in aCBSinterview.
""I'm in the unfortunate position of happening to agree with Elon Musk on this, which is that there's a 10 to 20 per cent chance that these things will take over, but that's just a wild guess,"" he added.
Mr Hinton was referring to the Tesla CEO, who has claimed that AI will become smarter than the entire human race by 2029. Mr Musk is also the chief executive of xAI, the company that developed the AI chatbot Grok.
According to Mr Hinton, AI companies should dedicate a ""third of their computing power"" or significantly more resources to safety research.
""If you look at what the big companies are doing right now, they're lobbying to get less AI regulation. There's hardly any regulation as it is, but they want less,"" Mr Hinton said.
Also Read | Google DeepMind CEO On What Keeps Him Up At Night: ""AGI Is Coming, Society's Not Ready""
Mr Hinton laid the foundations for machine learning that is powering today's AI-based products and applications. However, the Nobel laureate grew wary of AI's future development and cut ties with his employer, Google, in order to speak more freely on the issue.
""It will be comparable with the industrial revolution. But instead of exceeding people in physical strength, it's going to exceed people in intellectual ability. We have no experience of what it's like to have things smarter than us,"" said Mr Hinton at the time.
""I am worried that the overall consequence of this might be systems more intelligent than us that eventually take control.""
Mr Hinton has been a big advocate of government regulation for the technology, especially given the exceptional pace of development.
Apart from Mr Hinton, Google DeepMind CEO Demis Hassabis has also warned about the perils of AI. In a recent interview, Mr Hassabis said society is not ready for human-level AI, popularly referred to as Artificial General Intelligence (AGI).
The 2024 Nobel Prize in Chemistry winner said AI systems capable of human-level cognitive abilities were only five to ten years away and that such development was keeping him up at night.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:45,Positive
https://www.ndtv.com/science/scientists-uncover-worlds-most-bitter-tasting-thing-ever-8278304,Scientists Uncover World's Most Bitter Tasting Thing Ever,"Mon, 28 Apr 2025 18:11:24 +0530","Scientists have discovered the most bitter-tasting thing ever, and it is not orange, lemon, or even Brussels sprouts. According to food researchers at the Technical University of Munich, a mushroom calledAmaropostia stiptica, better known as bitter bracket fungus, is officially the 'most bitter thing in the world', as per a report in theBBC.
The mushroom is widely available in Britain, and despite being extremely bitter, it is not toxic. The researchers extracted three compounds from the mushroom and studied their effect on human taste receptors.
This tree-growing mushroom has a compound that is so potent that an individual would be able to taste a single gram of the substance dissolved in 106 bathtubs of water. Named oligoporin D, this chemical activates specialised bitter receptors in our mouths which also help detect natural poisons.
Also Read | Valerie, The Little Sausage Dog Found After 529 Days And Internet Is Ecstatic
The study results, published in theJournal of Agricultural and Food Chemistrymay help scientists research how humans evolved to be able to detect bitter tastes and why. Notably, bitter is one of the five basic taste sensations humans have, alongside sweet, sour, salty and savoury, also called ""umami"".
""Our results contribute to expanding our knowledge of the molecular diversity and mode of action of natural bitter compounds,"" said lead researcher Dr Maik Behrens.
""In the long term, insights in this area could enable new applications in food and health research, for example in the development of sensorially appealing foods that positively influence digestion and satiety.""
Prior to the German study, most of the research had centred around how flowering plants can have a bitter taste. However, fewer studies had been done looking at fungi such as mushrooms.
Studies show that sensors for bitter substances are also found in the stomach, intestines, heart and lungs apart from the mouth.
Previous studies have indicated that sensors for bitter substances are not only found in the mouth but also in the stomach, intestines, heart and lungs. Researchers stated that closely analysing compounds derived from fungi like oligoporin D could be key to understanding our complex relationship with bitterness.
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:48,Positive
https://www.ndtv.com/science/databahn-ai-launches-data-reef-built-on-its-mcp-server-to-deliver-smarter-context-aware-security-intelligence-8274753,"DataBahn.ai Launches 'Data Reef' - Built on Its MCP Server to Deliver Smarter, Context-Aware Security Intelligence","Mon, 28 Apr 2025 11:32:11 +0530","Dallas, Texas, United States - Business Wire India
DataBahn.ai, a leader in AI-powered data fabric and pipeline management, today announced the launch ofReef, an industry-first solution that transforms high-volume, high-velocity security telemetry into actionable intelligence - precisely when and where it's needed.
Enterprises collect petabytes of logs, alerts, and telemetry - but typically analyze less than 5% of it. That small slice often misses the most critical signals. Reef intelligently filters, identifies, contextualizes, and prioritizes high-value data in real time, writing it directly to enterprise-owned data lakes infrastructure.
The result: meaningful insights delivered instantly to security analysts and decision-makers.
""Security teams don't need more dashboards - they need answers, they need insights,"" saidMihir Nair, Head of Architecture & Innovation at DataBahn.ai. ""We've harnessed GenAI to reimagine how teams interact with data - delivering relevant intelligence the moment it's needed. Our new Model Context Protocol (MCP) Server advances this vision even further. It helps to seamlessly integrate Reef withCruz AI- DataBahn.ai's Data Engineer. With a single prompt, users can uncover configurations, inventories, and anomalies - driving faster, smarter decisions.""
5 to 60 minutes - that's how long data searches used to take. With Reef, it's a matter of seconds.
Built on DataBahn.ai's modular Security Data Fabric, Reef unifies telemetry from all sources into a centralized, searchable metadata layer accessible via natural language. This makes security data not only usable but useful for SOC analysts, threat hunters, infrastructure teams, auditors, and even AI systems.
""Unlike lakes or swamps - passive metaphors for storage - Reef is where the signal lives,"" addedNithya Nareshkumar, Co-Founder and President of DataBahn.ai. ""It's where your logs stop sitting idle and start telling a story.""
With Reef, DataBahn.ai reinforces its commitment to delivering cutting-edge AI solutions that simplify and scale security data operations. The product is available immediately to existing Security Data Fabric customers and as an insight-layer add-on for enterprises aiming to optimize observability, reduce cost, and enhance security outcomes with AI.
To learn more or request a demo, visitwww.databahn.ai
Media Contact DetailsPoornima Verghese, Databahn, press@databahn.ai
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:51,Positive
https://www.ndtv.com/science/earth-like-exoplanets-more-common-across-the-cosmos-study-8269203,Earth-Like Exoplanets More Common Across The Cosmos: Study,"Sun, 27 Apr 2025 15:50:29 +0530","Astronomers have discovered that super-Earth exoplanets are more common across the universe than previously thought.While it can be relatively easy to locate worlds that orbit close to their star, planets with wider paths can be difficult to detect.
Using the Korea Microlensing Telescope Network (KMTNet), an international team of researchers has discovered that super-Earth exoplanets are more common across the universe than previously thought, according to a new study.
By studying light anomalies made by the newly found planet's host star and combining their results with a larger sample from a KMTNet microlensing survey, the team found that super-Earths can exist as far from their host star as our gas giants are from the sun, said Andrew Gould, co-author of the study and professor emeritus of astronomy at The Ohio State University.
""Scientists knew there were more small planets than big planets, but in this study, we were able to show that within this overall pattern, there are excesses and deficits,"" he said. ""It's very interesting.""
While it can be relatively easy to locate worlds that orbit close to their star, planets with wider paths can be difficult to detect.
Still, researchers further estimated that for every three stars, there should be at least one super-Earth present with a Jupiter-like orbital period, suggesting these massive worlds are extremely prevalent across the universe, said Gould, whose early theoretical research helped develop the field of planetary microlensing.
The findings in this study were made via microlensing, an observational effect that occurs when the presence of mass warps the fabric of space-time to a detectable degree.
When a foreground object, such as a star or planet, passes between an observer and a more distant star, light is curved from the source, causing an apparent increase in the object's brightness that can last anywhere from a few hours to several months.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
TrackLatest NewsLive on NDTV.com and getnewsupdates fromIndiaand around theworld",2025-05-03 05:02:54,Positive
